Nama Pengguna;Skor (Bintang);Ulasan Teks;Tanggal Ulasan;Balasan Pengembang;Jumlah Like;ID Ulasan
Basyir 04;5;makasih sudah di tanggapi keluhan saya;2025-09-29 15:10:26;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;3d50b044-4500-42db-909f-09ae7a036eff
Abdul Jalil Khoirul Riyasyah;5;aplikasinya malah error, sudah diperbaiki, terimakasih.. sy kasih bintang 5 karena cepet tanggap;2025-09-29 15:08:39;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;f636ea93-8d01-4c4f-a1ea-7e623817d671
Nur Wachid;1;verifikasi gagal terus maaf say kasih bintang 1;2025-09-29 14:45:40;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;fee255f2-a3f1-42e4-9d10-d74573c2cbda
debora christina;5;Terima kasih sudah merespon sy dan tadi BCA mobile sudah berjalan baik seperti semula.;2025-09-29 14:44:26;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;91099aa9-1106-406c-94d6-fb4963d5c2b8
Setiadi12;5;ini aplikasi kenapa gabisa dibuka ya , indikator merah terus , gangguan atau gimana;2025-09-29 14:42:28;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;8836b118-a55a-4c90-8ff6-aa4e3b95a8e6
Lonny Tumihar Munthe;5;cepat;2025-09-29 14:28:06;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;18ead40f-c15b-43ad-9315-1e2bbbd1bbdc
kemal joo;1;erorr...... verikasi nya error.;2025-09-29 14:05:24;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;080a997a-8d64-432f-882c-1ba6bcf462e3
Simanuel Wanggai;1;sering error lah gajelas;2025-09-29 14:00:34;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;b07bef07-ecaf-491c-a280-5bdc21bafa05
Irul Irul;1;gilaa abis update malah gbisa login aneh bca setres;2025-09-29 13:50:27;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;023719d2-295e-481d-a788-1a80352072a1
Dasta Rahmadana;3;kode otp tidak terkirim kirim;2025-09-29 12:48:41;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;49bf41b7-820b-411a-b015-6ef230bbbb1c
Fauzan sansino;5;gangguan terus;2025-09-29 12:40:15;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;e6fd396a-34c9-4d7b-8b7a-e0afcd419bcc
Rezki Kurnia ilahi;1;kenapa sering verifikasi terus menerus y dulu ny gk begini ini sdh 2 kali saya harus verifikasi m bca ny;2025-09-29 12:35:44;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;c7dcb460-189d-40ad-8ff2-673ff8f33411
Uqie Deden;5;sangat puas;2025-09-29 11:44:42;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;fceded96-c606-4422-8623-3aee2d5c972a
Epi Epi yuhana;5;Sangat puas dengann bca mobile;2025-09-29 11:26:23;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;6d9e1555-63a5-4e53-ae74-808389f4f760
Iwan sofyan;1;parah habis di update gak bisa dibukak, minta verifikasi ujung² nya disuruh aktifasi ulanh di atm, buang² pulsa aja;2025-09-29 11:25:20;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;041d63b6-f760-43a4-8ea4-8d56db2b6737
daniel aris;5;Bertahun-tahun saya menggunakan bca Mobile tidak ada masalah dan saya sangat senang. namun hari ini setelah update aplikasi (HP saya Xiaomi) malah jadi tidak bisa login dengan notif tidak ada jaringan internet. padahal internet aman dan bisa utk aplikasi lain. mohon segera diperbaiki. edit: terimakasih atas kerja keras nya.. bca Mobile sudah bisa digunakan lagi;2025-09-29 11:20:01;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;1;a5463d03-c772-4b3c-a038-7e2e394b7293
ade Muhaemin;1;tf tapi k masuk itu gmn sih , ko bisa sprti itu;2025-09-29 11:08:05;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;310ed69d-39b2-45a8-b6f5-f2ae328ef310
Q _Duys;1;dari pagi gak bisa transaksi gak bisa apa² simbolnya warna merah terus, padahal udah versi terbaru;2025-09-29 10:56:53;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;1;74eb0308-d0e4-4e93-8515-65faec1d81d6
Mila Sari;1;gak jelas eror trs,;2025-09-29 10:33:35;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;785aecca-eeaf-4863-98a7-817d93475ce7
Wiwit Widyawati;4;biasa menggunakan keyboard BCA, lebih praktis utk transaksi, tapi belakangan nggak bisa pake lagi dan nggak tau mau tanya ke siapa buat benerin lagi;2025-09-29 10:30:06;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;13113d56-b7c7-4694-a4d4-e2a8abc4c87c
Sukses Borneo89;5;gaje lu;2025-09-29 09:34:16;Mohon maaf atas ketidaknyamanan Bapak/Ibu, mohon dapat informasikan detail kendala yang dimaksud agar kami informasikan lebih lanjut sesuai kebutuhan.;0;2deef96c-4055-4e15-bfc0-d9c1b5714e6d
Simon Sihombing;1;makin kesini makin ngak jelas dan susah verifikasi muka nya ni aplikasi;2025-09-29 09:30:12;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;48f9a7e9-53d2-4f7c-a530-7a7cabbbd021
Fauzan Ibnu abdillah;1;bca sekarang kenapaa yak kok pada sok gtu angkat vcall aja lama bgt idih bca yg gua kenal dulu itu sigap bgt si asli;2025-09-29 09:12:12;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;506ce953-8c64-4243-9629-ceb45fd7fdfb
Adhyta Alizar;4;terimakasih respon nya bca penanganan yg cepat dan respon yg tanggal;2025-09-29 09:07:37;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;9bfb7d46-ee20-4332-a07c-9c7b787d5acb
Rizky Baraka;4;bagus sebelum d update pakai buka pin aja tambah ruwet,,,,;2025-09-29 09:01:03;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;1abaff2e-9b41-4a9e-a391-4e9d6d10d195
Gunowidjojo;5;kanapa ini apk..loading aja .. kecewa banget.. ga selesai2 berapa jam loading terus.. tidak dapat diproses terus.. perbaikannya mana ini;2025-09-29 08:44:56;"Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.
";0;ae4f4d2f-19ec-42a0-8f7f-d789065d03e2
Widya;1;ga jelas. dsaat lagi saat butuh malah eror. sangat ga jelas.;2025-09-29 08:14:54;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;5d1dbe6d-363a-43a3-9e21-71c9b0a68123
Muhammad Reyhan Syah Pami;5;sangat bagus dan saya puas;2025-09-29 07:30:21;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;3f30aaab-b78b-4a37-b1ec-7792a2ee520f
Muhammad Nur Aziz;1;sekarang sering eror di pagi hari dan makin berat;2025-09-29 07:14:29;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;6b8e5585-3304-4b6b-bbc0-7afb50ad5f37
Husni Audah;1;nunggu balasan otp berhari hari g dapat dapat. customer service nya tidur apa koit;2025-09-29 06:47:07;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;72693bbe-d79c-446d-aa9b-664735f234c3
Hilmi Fauzan R;4;Oke sudah bisa;2025-09-29 06:02:38;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;ff0d049c-f69d-4fa9-9c49-ecc47d868adc
Agus Soemarsono;2;di app yg lain normal.,yg bca mobile knp signalnya susah.mau transfer jadi susah.hrs pake wifi.jadi repot;2025-09-29 05:57:15;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;446ec59d-5da4-4950-9c8f-f4b5c776af80
Cak Munif;5;luar biasa;2025-09-29 05:52:58;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;304ab77f-d98c-4f87-8bf1-a23dd6091714
ricky fj40;1;video call macam kita tunggu malaikat lamanya...ngomongnya yg besar buka rek online padahal saya mau jdi nasabah baru bca...karena posisi saya di aceh tidak ada kantor cabang bank konvensional....🤕🤕🤕;2025-09-29 05:51:13;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;76ebfcef-ee8c-44fb-8d1f-cec4963e3f07
Kedepan Ya;1;sudah habis pulsa buat aktivasi masih gak bisa buat buka aplikasinya id sudah benar pasword sudah benar masih tidak bisa. suruh tlp pula.. aplikasi Bank tak guna;2025-09-29 05:40:51;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;c4bcf903-8e7f-423f-b8ff-f6eca3fa256c
Waro Kurnia;5;Saran : jika ada perbaikan atau kendala sistem, sebaiknya ada informasi ke nasabah.;2025-09-29 05:10:50;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;7c7e1b19-784f-43e3-b64f-15dce9998101
Heru Hermawan;1;pelayanan lelet.buka rekening aja antri sampe 3 jam.pake video call lagi sok sibuk;2025-09-29 04:17:21;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;7df9174a-641f-41d1-9ca8-5292ffd2988b
leo fenderesta;5;knp update terbaru makin berat.. lama kmrn dah bagus;2025-09-29 03:58:36;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;a5ca6fd8-2349-435f-8ef2-0d950111b9e8
andi Vaanbel;1;kenapa buka aplikasi ini sekarang lemotnya amit2;2025-09-29 03:37:34;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;2507a4d2-aead-4bcb-9ad0-dfde9ba72f01
Muhammad Padly;1;bnyak eror tolong di perbaiki lagi;2025-09-29 03:18:54;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;a2eaad3e-d062-4d82-a3d5-911d1f52aa20
Harold Corneles;1;Aplikasinya makin kesini malah makin lemot. Aplikasi bank lain malah lebih cepet ga lambat wkt utk pakai proses pembayaran. Ini BCA mobile baru buka aja loadingnya suka lama.;2025-09-29 02:46:03;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;f30a3c6f-6c17-43d7-869f-287522f95c0f
Sekonyong Konyong;1;aplikasi eror hari senin hari kerja jam padat pada gak punya otak ini orang BCA BRI aja yg bapuk aja gak pernah eror kalo hari senin, nih BCA hari senin pada eror semua aplikasinya. kalo bisa eror nya sampe 6 bulan aja biar bangkrut lu;2025-09-29 02:30:50;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;6f247480-5e55-4e38-aa0d-c9c50c0e266c
yudhono bayu;5;knapa ga mau dibuka ya..;2025-09-29 02:30:31;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;76923aa8-c3a4-45a4-9cc8-076059104a02
prengki gunawan;1;ini kenapa yah, sinya bagus, persyaratan sudah sesuai. tapi transakisnya gagal terus.;2025-09-29 02:29:50;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;2a7329b9-025d-4732-801d-a1a71315fb22
eka sriwijayanti;3;ini aplikasi kenapa yaaa dari subuh kok disuruh cek mutasi terus ... jadi terhambat semuanya 😥;2025-09-29 02:19:40;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;883d0b71-44d9-41b8-a83e-d9c5a04c8a80
Yulius Patasik;5;mantap;2025-09-29 02:19:37;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;4380ec1a-f603-4c27-89ac-89a81387b69a
Ridwan Kamil;5;mmbantu sekalu;2025-09-29 02:11:11;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;1cfcb4f7-1719-4fc5-99fa-d00d6965e436
Sofari Fudin;5;mantap;2025-09-29 01:58:40;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;ddb66edb-ad96-4fa0-a3ba-955980da02ee
Atoy Chanel;2;setelah update jdi lemot.;2025-09-29 01:56:08;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;42036f97-4d50-46a1-bb94-627bf6322c65
Pengki Lasapu;1;setelah update malah error nutup sendiri,jaringan terputus;2025-09-29 01:46:24;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;8daba169-e5f6-4504-82fd-c4a9656b285d
Ahmad Fauzy;1;barusan minta pembaruan tp malah keluar sendiri aplikasinya dan tidak dapat di gunakan yolong d perbaiki mau saya pakai;2025-09-29 01:39:56;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;db5a828a-b92d-41b7-9c89-24d760da4d4b
Taris Rider;2;sering error terutama pagi jam sibuk.. Senin 29 September kejadian LG... padahal hari sibuk malah error.;2025-09-29 01:38:16;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;d97a0567-2935-4561-ad64-6229a9f88808
alwin anwari;1;kacau, ngabisin pulsa aja, udah 5x daftar varifikasi tetep ga bisa login;2025-09-29 01:32:13;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;a2f4dc5b-e097-4bf5-82c4-65e3702d1f04
ilham soleh;1;perbaikan bukan nya makin bagus, malahan makin bapuk...;2025-09-29 01:31:42;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;a7279bcf-d5ce-49d9-88aa-1701f75335a7
Marina Liana;3;updatean aja terusss , aplikasi sering erorr gimana sihh . banyak customer yg tf kalo dana yg di pending balik lagi kemereka gimana ?? gw woyyy yg rugi.;2025-09-29 01:29:18;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;9acf924c-6965-46ff-9391-f284d99e6e5b
Ahmet Cafer;1;ngebug melulu untuk yg versi terbaru. sangat mengecewakan....;2025-09-29 01:28:13;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;1f04c5c9-e91a-4340-9310-844970462133
ANAK GOBLOK;5;mudah dan cepat;2025-09-29 01:28:02;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;19bb775a-4ce7-4bc2-8f10-4d706e18a39c
Zulkarnain zul;4;aduh BCA kenapa kamu sakit gini hari ada apa saya sangat membutuhkan kamu BCA tolong kaki saya sakit tolong org²BCA Jagan sampai ada berita yg aneh²nanti ya....pertanda apa ini BCA eror gini,tapi ga tau kartunya eror jg atu ga,ini cuma bengking yg eror ga bisa ngapa ngapain kenapa ini,hidup macam apa ini roko ga ada uang ga ada bengking eror;2025-09-29 01:27:18;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;a24ba0de-21f4-4eb1-8958-9a229c60ccf0
qintan wangi;3;ini Skrang mbanking eror apagmna si ko merah trs sinyalnya, tlong kebijaksanaan yah, paket data saya kenceng wa apa pun ga trgnggu TPI ko mbanking merah trs sinyalnya;2025-09-29 01:26:14;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;c5284ebd-fe39-4563-b0f8-7c230aa93d27
Adoy Dastin;5;sangat bagus;2025-09-29 01:25:20;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;48128eb0-8af2-473a-8bda-6c33d730c5d4
Robby Iskandar;1;makin kesini bukan nya bagus ini aplikasi... makin kaga jelas..;2025-09-29 01:25:18;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;c254a8de-aa06-44bf-84c8-2939aa1c703c
Mas Budi;1;mau transaksi bayar kost an ga bisa pake wifi pun sama ga bisa merah terus signal bobrok amat aplikasinya;2025-09-29 01:25:05;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;1cfa92f4-e64b-4361-9404-b1a8eadd0d05
Ria Amalia Rostianti;4;kenapa BCA mobile saya gak bisa dipakai yah hari ini..apakah sedang gangguan..?;2025-09-29 01:24:13;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;76d8f5e2-92c3-4f70-a11d-be1eea378d9b
Kusnendar 19;5;sangat mambatu untuk masalah transaksi 🙏;2025-09-29 01:24:04;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;5a768232-226a-43e7-b88d-8fab8d0a1f33
Nabila Nurlaila;5;berjalan dengan sempurna semua transaksi jadi lebih mudah dan praktis makasih bca;2025-09-29 01:23:35;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;b5b2028d-5888-4fc5-827e-75aee1376bf4
Putra Herdiawan;1;mbanking saya tidak bisa kebuka. aneh sekali aplikasinya setelah update;2025-09-29 01:23:26;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;116f3475-a004-4112-ad7b-8727dc8af507
gilang pamungkas;1;ini kenapa ngga bisa masuk bca mobile?;2025-09-29 01:23:07;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;8b6ff26c-5d24-4ab8-a64d-ddd20e6ed266
Me Crypto;1;parah BCA lemot;2025-09-29 01:22:52;Mohon maaf atas ketidaknyamanannya. Saran dan ulasan Bapak/Ibu akan menjadi bahan evaluasi bagi kami ke depannya untuk pengembangan aplikasi dan layanan yang lebih baik.;0;2ac9d5a8-8e43-4ac1-957b-80e471946b9b
Efan Efendi;5;bagus;2025-09-29 01:22:23;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;a6008b73-e519-4768-8191-bf6cb2778241
Mono Santoso;2;ini kenapa sih ya padahal udah update jaringan bagus juga GK bisa di pake mau TF GK bisa2 warna indicatornya masih aja merah mau ngapa2in jadi susah;2025-09-29 01:21:50;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;7474c6dc-ce82-4e13-b59f-1ef46ad06135
Ricky E;4;aplikasinya tidak bisa lakukan transaksi...terdapat kendala di aplikasinya. mohon bantuannya;2025-09-29 01:21:35;Mohon maaf atas ketidaknyamanan. Sebelumnya terdapat informasi kendala dan pihak analis BCA telah konfirmasikan saat ini kendala tersebut sudah berangsur normal. Sehingga kami sarankan Bapak/Ibu dapat mencoba kembali secara berkala.;0;f631faba-b44a-4432-89dc-fa1fbd1fadfa
Yonx Bengoh;5;mantap;2025-09-29 01:20:45;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;f9c28447-3cd5-4f0c-98df-f61b310e9f3c
Riski Maulana;5;bagus;2025-09-29 01:20:40;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;e34ff6c5-68ee-4986-aadb-f9c303b00744
gedeprana anjasmara;5;Sangat membantu;2025-09-29 01:20:17;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;1b2b5b3a-8f8f-4fe9-a8bd-3c5357b99569
